dt_iso,wind_speed_1,wind_speed_2,wind_speed_3,snow_1h_1,snow_1h_2,snow_1h_3,temp_1,temp_2,temp_3,temp
1996-07-21,8.116666666666665,3.8625000000000007,3.7225,0.0,0.0,0.0,289.8466666666667,294.8254166666666,296.27000000000004,293.5125
1996-07-22,5.80375,8.116666666666665,3.8625000000000007,0.0,0.0,0.0,293.5125,289.8466666666667,294.8254166666666,292.87916666666666
1996-07-23,2.7779166666666675,5.80375,8.116666666666665,0.0,0.0,0.0,292.87916666666666,293.5125,289.8466666666667,293.78000000000003
1996-07-24,2.4029166666666675,2.7779166666666675,5.80375,0.0,0.0,0.0,293.78000000000003,292.87916666666666,293.5125,294.4358333333333
1996-07-25,2.5541666666666676,2.4029166666666675,2.7779166666666675,0.0,0.0,0.0,294.4358333333333,293.78000000000003,292.87916666666666,294.7920833333333
1996-07-26,3.3499999999999996,2.5541666666666676,2.4029166666666675,0.0,0.0,0.0,294.7920833333333,294.4358333333333,293.78000000000003,294.4979166666667
1996-07-27,3.1566666666666667,3.3499999999999996,2.5541666666666676,0.0,0.0,0.0,294.4979166666667,294.7920833333333,294.4358333333333,293.30875000000003
1996-07-28,4.175000000000001,3.1566666666666667,3.3499999999999996,0.0,0.0,0.0,293.30875000000003,294.4979166666667,294.7920833333333,292.3133333333333
1996-07-29,2.919166666666667,4.175000000000001,3.1566666666666667,0.0,0.0,0.0,292.3133333333333,293.30875000000003,294.4979166666667,292.29416666666674
1996-07-30,2.289166666666667,2.919166666666667,4.175000000000001,0.0,0.0,0.0,292.29416666666674,292.3133333333333,293.30875000000003,293.62541666666664
1996-07-31,3.620833333333333,2.289166666666667,2.919166666666667,0.0,0.0,0.0,293.62541666666664,292.29416666666674,292.3133333333333,292.2595833333334
1996-08-01,3.8233333333333324,3.620833333333333,2.289166666666667,0.0,0.0,0.0,292.2595833333334,293.62541666666664,292.29416666666674,291.87333333333333
1996-08-02,1.9829166666666669,3.8233333333333324,3.620833333333333,0.0,0.0,0.0,291.87333333333333,292.2595833333334,293.62541666666664,291.9933333333334
1996-08-03,2.725,1.9829166666666669,3.8233333333333324,0.0,0.0,0.0,291.9933333333334,291.87333333333333,292.2595833333334,294.2395833333333
1996-08-04,2.462500000000001,2.725,1.9829166666666669,0.0,0.0,0.0,294.2395833333333,291.9933333333334,291.87333333333333,295.24625
1996-08-05,1.9954166666666673,2.462500000000001,2.725,0.0,0.0,0.0,295.24625,294.2395833333333,291.9933333333334,296.7416666666666
1996-08-06,2.2904166666666668,1.9954166666666673,2.462500000000001,0.0,0.0,0.0,296.7416666666666,295.24625,294.2395833333333,297.55875000000003
1996-08-07,2.2991666666666672,2.2904166666666668,1.9954166666666673,0.0,0.0,0.0,297.55875000000003,296.7416666666666,295.24625,297.98625
1996-08-08,2.8408333333333338,2.2991666666666672,2.2904166666666668,0.0,0.0,0.0,297.98625,297.55875000000003,296.7416666666666,298.24
1996-08-09,4.175,2.8408333333333338,2.2991666666666672,0.0,0.0,0.0,298.24,297.98625,297.55875000000003,296.67125000000004
1996-08-10,4.460833333333334,4.175,2.8408333333333338,0.0,0.0,0.0,296.67125000000004,298.24,297.98625,292.31125
1996-08-11,3.19,4.460833333333334,4.175,0.0,0.0,0.0,292.31125,296.67125000000004,298.24,289.2154166666666
1996-08-12,2.5241666666666673,3.19,4.460833333333334,0.0,0.0,0.0,289.2154166666666,292.31125,296.67125000000004,290.5783333333334
